SchoolYear,DistrictCode,SchoolCode,DistrictName,DistrictType,SchoolName,SchoolType,Street1,Street2,City,State,Zip,County,LowestGrade,HighestGrade,EducationLevel,HasEC,HasPK,HasKN,HasElementaryGrade,HasMiddleGrade,HasHighGrade,IsUngraded,Geocoded Location
2016,13,638,Capital School District,Regular,Fairview Elementary School,PUBLIC,700 Walker Road,--,Dover,DE,199042792,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"700 Walker Road
Dover, DE 199042792
(39.17101, -75.539319)"
2013,13,638,Capital School District,Regular,Fairview Elementary School,PUBLIC,700 Walker Road,--,Dover,DE,199042792,Kent,PK,04,Elementary,0,1,1,1,0,0,0,"700 Walker Road
Dover, DE 199042792
(39.17101, -75.539319)"
2016,29,13,Appoquinimink School District,Regular,Appoquinimink PreSchool Center,PUBLIC,502 South Broad Street,--,Middletown,DE,197091196,New Castle,PR,PK,,1,1,0,0,0,0,0,"502 South Broad Street
Middletown, DE 197091196
(39.444532, -75.715398)"
2015,24,688,Smyrna School District,Regular,Smyrna High School,PUBLIC,500 Duck Creek Parkway,--,Smyrna,DE,199771091,Kent,09,12,High,0,0,0,0,0,1,0,"500 Duck Creek Parkway
Smyrna, DE 199771091
(39.301041, -75.628273)"
2013,79,578,Delaware Military Academy,Charter,Delaware Military Academy,PUBLIC,112 Middleboro Road,--,Wilmington,DE,19804,New Castle,09,12,High,0,0,0,0,0,1,0,"112 Middleboro Road
Wilmington, DE 19804
(39.721852, -75.584935)"
2013,73,572,Reach Academy for Girls,Charter,Reach Academy for Girls,PUBLIC,3210 Philadelphia Pike,--,Claymont,DE,19703,New Castle,KG,06,Middle,0,0,1,1,1,0,0,"3210 Philadelphia Pike
Claymont, DE 19703
(39.79911, -75.462175)"
2016,29,21,Appoquinimink School District,Regular,Brick Mill Elementary School,PUBLIC,378 Brick Mill Road,--,Middletown,DE,19709,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"378 Brick Mill Road
Middletown, DE 19709
(39.458546, -75.687767)"
2015,29,17,Appoquinimink School District,Regular,Meredith (Everett) Middle School,PUBLIC,504 South Broad Street,--,Middletown,DE,197091196,New Castle,06,08,Middle,0,0,0,0,1,0,0,"504 South Broad Street
Middletown, DE 197091196
(39.44319, -75.715052)"
2016,33,374,Christina School District,Regular,Kirk (George V.) Middle School,PUBLIC,140 Brennen Drive,--,Newark,DE,197133999,New Castle,06,08,Middle,0,0,0,0,1,0,0,"140 Brennen Drive
Newark, DE 197133999
(39.672055, -75.711585)"
2013,37,733,Delmar School District,Regular,Delmar Middle School,PUBLIC,200 North Eighth Street,--,Delmar,DE,199401399,Sussex,05,08,Middle,0,0,0,1,1,0,0,"200 North Eighth Street
Delmar, DE 199401399
(38.45782, -75.568311)"
2013,38,80,New Castle County Vocational-Technical School,Regular,Delcastle Technical High School,PUBLIC,1417 Newport Road,--,Wilmington,DE,198043499,New Castle,08,12,High,0,0,0,0,1,1,0,"1417 Newport Road
Wilmington, DE 198043499
(39.725966, -75.628634)"
2014,97,982,Dept. of Svs. for Children Youth & Their Fami,Service,Lewes Day Treatment Center (6-14),SERVICE,224 Coastal Highway,--,Lewes,DE,19958,New Castle,PR,12,High,1,1,1,1,1,1,0,"224 Coastal Highway
Lewes, DE 19958
(38.615214, -75.065029)"
2014,97,551,Dept. of Svs. for Children Youth & Their Fami,Service,Silver Lake Treatment Center,SERVICE,493 East Main Street,--,Middletown,DE,197091463,New Castle,PR,12,High,1,1,1,1,1,1,0,"493 East Main Street
Middletown, DE 197091463
(39.450751, -75.697016)"
2015,85,584,Academy of Dover Charter School,Charter,Academy Of Dover Charter School,PUBLIC,104 Saulsbury Road,--,Dover,DE,19904,Kent,KG,06,Middle,0,0,1,1,1,0,0,"104 Saulsbury Road
Dover, DE 19904
(39.162062, -75.543869)"
2014,33,327,Christina School District,Regular,Oberle (William) Elementary School,PUBLIC,500 South Caledonia Way,--,Bear,DE,19701,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"500 South Caledonia Way
Bear, DE 19701
(39.614699, -75.692641)"
2014,16,752,Laurel School District,Regular,North Laurel Elementary School,PUBLIC,300 Wilson Street,--,Laurel,DE,199561626,Sussex,02,04,Elementary,0,0,0,1,0,0,0,"300 Wilson Street
Laurel, DE 199561626
(38.566427, -75.570313)"
2016,33,538,Christina School District,Regular,Brennen School (The),PUBLIC,144 Brennen Drive,--,Newark,DE,197133998,New Castle,PK,12,High,0,1,1,1,1,1,0,"144 Brennen Drive
Newark, DE 197133998
(39.674038, -75.713735)"
2013,97,554,Dept. of Svs. for Children Youth & Their Fami,Service,Cleveland White School,SERVICE,1825 Faulkland Road,--,Wilmington,DE,198051121,New Castle,KG,12,High,0,0,1,1,1,1,0,"1825 Faulkland Road
Wilmington, DE 198051121
(39.748366, -75.612591)"
2013,32,274,Red Clay Consolidated School District,Regular,duPont (Alexis I.) Middle School,PUBLIC,3130 Kennett Pike,--,Greenville,DE,198073099,New Castle,06,08,Middle,0,0,0,0,1,0,0,"3130 Kennett Pike
Greenville, DE 198073099
(39.76665, -75.584205)"
2012,10,622,Caesar Rodney School District,Regular,Brown (W. Reily) Elementary School,PUBLIC,360 Webbs Lane,--,Dover,DE,199045438,Kent,01,05,Elementary,0,0,0,1,0,0,0,"360 Webbs Lane
Dover, DE 199045438
(39.132507, -75.538795)"
2012,16,755,Laurel School District,Regular,Laurel Intermediate School,PUBLIC,801 South Central Avenue,--,Laurel,DE,199561498,Sussex,05,06,Middle,0,0,0,1,1,0,0,"801 South Central Avenue
Laurel, DE 199561498
(38.550692, -75.569748)"
2015,32,527,Red Clay Consolidated School District,Regular,Central School (The),PUBLIC,1621 Telegraph Road,--,Wilmington,DE,198044198,New Castle,PK,12,High,0,1,1,1,1,1,0,"1621 Telegraph Road
Wilmington, DE 198044198
(39.71181, -75.652784)"
2016,33,320,Christina School District,Regular,Gallaher (Robert S.) Elementary School,PUBLIC,800 North Brownleaf Road,--,Newark,DE,197133300,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"800 North Brownleaf Road
Newark, DE 197133300
(39.680388, -75.677996)"
2014,33,376,Christina School District,Regular,Shue-Medill Middle School,PUBLIC,1500 Capitol Trail,--,Newark,DE,197115716,New Castle,06,08,Middle,0,0,0,0,1,0,0,"1500 Capitol Trail
Newark, DE 197115716
(39.698927, -75.705937)"
2016,32,290,Red Clay Consolidated School District,Regular,Dickinson (John) High School,PUBLIC,1801 Milltown Road,--,Wilmington,DE,198084099,New Castle,06,12,High,0,0,0,0,1,1,0,"1801 Milltown Road
Wilmington, DE 198084099
(39.725172, -75.672014)"
2014,10,625,Caesar Rodney School District,Regular,Fifer (Fred) Middle School,PUBLIC,109 East Camden-Wyoming Avenue,--,Camden,DE,199341250,Kent,06,08,Middle,0,0,0,0,1,0,0,"109 East Camden-Wyoming Avenue
Camden, DE 199341250
(39.115734, -75.552113)"
2016,32,292,Red Clay Consolidated School District,Regular,duPont (Alexis I.) High School,PUBLIC,50 Hillside Road,--,Wilmington,DE,198072297,New Castle,09,12,High,0,0,0,0,0,1,0,"50 Hillside Road
Wilmington, DE 198072297
(39.778797, -75.599676)"
2016,31,151,Brandywine School District,Regular,Claymont Elementary School,PUBLIC,3401 Green Street,--,Claymont,DE,19703,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"3401 Green Street
Claymont, DE 19703
(39.802222, -75.464656)"
2015,86,585,Odyssey Charter School,Charter,Odyssey Charter School,PUBLIC,201 Bayard Ave,--,Wilmington,DE,198051512,New Castle,KG,08,Middle,0,0,1,1,1,0,0,"201 Bayard Ave
Wilmington, DE 198051512
(39.748546, -75.576352)"
2016,34,456,Colonial School District,Regular,Eisenberg (Harry O.) Elementary School,PUBLIC,27 Landers Lane,--,New Castle,DE,197202093,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"27 Landers Lane
New Castle, DE 197202093
(39.688649, -75.558733)"
2013,15,664,Lake Forest School District,Regular,Chipman (W.T.) Middle School,PUBLIC,101 West Center Street,--,Harrington,DE,199521098,Kent,06,08,Middle,0,0,0,0,1,0,0,"101 West Center Street
Harrington, DE 199521098
(38.928022, -75.581611)"
2015,36,740,Indian River School District,Regular,Showell (Phillip C.) Elementary School,PUBLIC,41 Bethany Road,--,Selbyville,DE,199759601,Sussex,PR,05,Elementary,1,1,1,1,0,0,0,"41 Bethany Road
Selbyville, DE 199759601
(38.460444, -75.215813)"
2014,34,427,Colonial School District,Regular,Southern Elementary School,PUBLIC,795 Cox Neck Road,--,New Castle,DE,197205704,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"795 Cox Neck Road
New Castle, DE 197205704
(39.562021, -75.628267)"
2015,37,733,Delmar School District,Regular,Delmar Middle School,PUBLIC,200 North Eighth Street,--,Delmar,DE,199401399,Sussex,05,08,Middle,0,0,0,1,1,0,0,"200 North Eighth Street
Delmar, DE 199401399
(38.45782, -75.568311)"
2013,29,20,Appoquinimink School District,Regular,Loss (Olive B.) Elementary School,PUBLIC,200 Brennan Boulevard,--,Bear,DE,19701,New Castle,01,05,Elementary,0,0,0,1,0,0,0,"200 Brennan Boulevard
Bear, DE 19701
(39.559458, -75.741877)"
2013,17,724,Cape Henlopen School District,Regular,Beacon Middle School,PUBLIC,19483 John J. Williams Highway,--,Lewes,DE,19958,Sussex,04,08,Middle,0,0,0,1,1,0,0,"19483 John J. Williams Highway
Lewes, DE 19958
(38.715342, -75.150692)"
2014,17,726,Cape Henlopen School District,Regular,Cape Henlopen High School,PUBLIC,1250 Kings Highway,--,Lewes,DE,199581798,Sussex,08,12,High,0,0,0,0,1,1,0,"1250 Kings Highway
Lewes, DE 199581798
(38.756012, -75.148124)"
2013,16,756,Laurel School District,Regular,Laurel Senior High School,PUBLIC,1133 South Central Avenue,--,Laurel,DE,199561491,Sussex,09,12,High,0,0,0,0,0,1,0,"1133 South Central Avenue
Laurel, DE 199561491
(38.547215, -75.569425)"
2016,33,352,Christina School District,Regular,Bayard Middle School,PUBLIC,200 South duPont Street,--,Wilmington,DE,198053975,New Castle,06,08,Middle,0,0,0,0,1,0,0,"200 South duPont Street
Wilmington, DE 198053975
(39.74357, -75.57229)"
2014,33,356,Christina School District,Regular,Elbert-Palmer Elementary School,PUBLIC,1210 Lobdell Street,--,Wilmington,DE,198015404,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"1210 Lobdell Street
Wilmington, DE 198015404
(39.730971, -75.541699)"
2016,97,978,Dept. of Svs. for Children Youth & Their Families,Service,Peoples Place Non-Secure Detention,SERVICE,909 N. Church St.,--,Milford,DE,19963,New Castle,KG,12,High,0,0,1,1,1,1,0,"909 N. Church St.
Milford, DE 19963
(38.926264, -75.429422)"
2014,34,410,Colonial School District,Regular,Downie (Carrie) Elementary School,PUBLIC,1201 Delaware Street,--,New Castle,DE,197206098,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"1201 Delaware Street
New Castle, DE 197206098
(39.664081, -75.577139)"
2014,33,322,Christina School District,Regular,Leasure (May B.) Elementary School,PUBLIC,1015 Church Road,--,Newark,DE,19702,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"1015 Church Road
Newark, DE 19702
(39.620146, -75.68119)"
2015,33,324,Christina School District,Regular,Maclary (R. Elisabeth) Elementary School,PUBLIC,300 St. Regis Drive,--,Newark,DE,197113800,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"300 St. Regis Drive
Newark, DE 197113800
(39.702243, -75.736557)"
2012,17,722,Cape Henlopen School District,Regular,Rehoboth Elementary School,PUBLIC,500 Stockley Street,--,Rehoboth Beach,DE,199711899,Sussex,PK,06,Middle,0,1,1,1,1,0,0,"500 Stockley Street
Rehoboth Beach, DE 199711899
(38.708294, -75.090633)"
2016,38,66,New Castle County Vocational-Technical School District,Regular,Hodgson (Paul M.) Vocational Technical High School,PUBLIC,2575 Glasgow Avenue,--,Newark,DE,197024756,New Castle,08,12,High,0,0,0,0,1,1,0,"2575 Glasgow Avenue
Newark, DE 197024756
(39.599281, -75.743041)"
2015,32,266,Red Clay Consolidated School District,Regular,Warner Elementary School,PUBLIC,801 West 18th Street,--,Wilmington,DE,198023890,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"801 West 18th Street
Wilmington, DE 198023890
(39.758287, -75.549017)"
2014,36,734,Indian River School District,Regular,Georgetown Elementary School,PUBLIC,301-A West Market Street,--,Georgetown,DE,199472398,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"301-A West Market Street
Georgetown, DE 199472398
(38.685699, -75.391282)"
2013,33,334,Christina School District,Regular,Wilson (Etta J.) Elementary School,PUBLIC,14 Forge Road,--,Newark,DE,197117699,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"14 Forge Road
Newark, DE 197117699
(39.714739, -75.707893)"
2016,33,324,Christina School District,Regular,Maclary (R. Elisabeth) Elementary School,PUBLIC,300 St. Regis Drive,--,Newark,DE,197113800,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"300 St. Regis Drive
Newark, DE 197113800
(39.702243, -75.736557)"
2016,87,586,Providence Creek Academy Charter School,Charter,Providence Creek Academy Charter School,PUBLIC,273 West Duck Creek Road,P.O. Box 265,Clayton,DE,19938,Kent,KG,08,Middle,0,0,1,1,1,0,0,"273 West Duck Creek Road
Clayton, DE 19938
(39.29799, -75.639115)"
2012,13,642,Capital School District,Regular,Towne Point Elementary School,PUBLIC,629 Buckson Drive,--,Dover,DE,199012599,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"629 Buckson Drive
Dover, DE 199012599
(39.176529, -75.521163)"
2013,33,310,Christina School District,Regular,Brookside Elementary School,PUBLIC,800 Marrows Road,--,Newark,DE,197131511,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"800 Marrows Road
Newark, DE 197131511
(39.668127, -75.727326)"
2012,18,670,Milford School District,Regular,Morris (Evelyn I.) Early Childhood,PUBLIC,8609 Third Street,--,Lincoln,DE,199609998,Kent,PR,01,Elementary,1,1,1,1,0,0,0,"8609 Third Street
Lincoln, DE 199609998
(38.869552, -75.418982)"
2016,9607,4055,First State Military Academy,Charter,First State Military Academy,PUBLIC,355 West Duck Creek Road,P.O.  Box 888,Clayton,DE,19938,Kent,09,10,High,0,0,0,0,0,1,0,"355 West Duck Creek Road
Clayton, DE 19938
(39.2932, -75.637301)"
2015,97,551,Dept. of Svs. for Children Youth & Their Families,Service,Silver Lake Treatment Center,SERVICE,493 East Main Street,--,Middletown,DE,197091463,New Castle,PR,12,High,1,1,1,1,1,1,0,"493 East Main Street
Middletown, DE 197091463
(39.450751, -75.697016)"
2014,23,766,Seaford School District,Regular,Seaford Senior High School,PUBLIC,399 North Market Street,--,Seaford,DE,199732611,Sussex,08,12,High,0,0,0,0,1,1,0,"399 North Market Street
Seaford, DE 199732611
(38.646537, -75.612663)"
2016,23,764,Seaford School District,Regular,Seaford Middle School,PUBLIC,500 East Stein Highway,--,Seaford,DE,199731528,Sussex,06,08,Middle,0,0,0,0,1,0,0,"500 East Stein Highway
Seaford, DE 199731528
(38.647745, -75.611522)"
2016,33,356,Christina School District,Regular,Elbert-Palmer Elementary School,PUBLIC,1210 Lobdell Street,--,Wilmington,DE,198015404,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"1210 Lobdell Street
Wilmington, DE 198015404
(39.730971, -75.541699)"
2014,33,332,Christina School District,Regular,West Park Place Elementary School,PUBLIC,193 West Park Place,--,Newark,DE,197114520,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"193 West Park Place
Newark, DE 197114520
(39.674695, -75.762404)"
2016,70,295,Charter School of Wilmington,Charter,Charter School of Wilmington,PUBLIC,100 North duPont Road,--,Wilmington,DE,198073199,New Castle,09,12,High,0,0,0,0,0,1,0,"100 North duPont Road
Wilmington, DE 198073199
(39.741248, -75.589405)"
2015,16,752,Laurel School District,Regular,North Laurel Elementary School,PUBLIC,300 Wilson Street,--,Laurel,DE,199561626,Sussex,02,04,Elementary,0,0,0,1,0,0,0,"300 Wilson Street
Laurel, DE 199561626
(38.566427, -75.570313)"
2015,38,26,New Castle County Vocational-Technical School District,Regular,Howard High School of Technology,PUBLIC,401 East 12th Street,--,Wilmington,DE,198013400,New Castle,08,12,High,0,0,0,0,1,1,0,"401 East 12th Street
Wilmington, DE 198013400
(39.745691, -75.542604)"
2014,10,621,Caesar Rodney School District,Regular,Postlethwait (F. Niel) Middle School,PUBLIC,2841 South State Street,--,Camden,DE,199349627,Kent,06,08,Middle,0,0,0,0,1,0,0,"2841 South State Street
Camden, DE 199349627
(39.098859, -75.512414)"
2014,32,240,Red Clay Consolidated School District,Regular,Forest Oak Elementary School,PUBLIC,55 South Meadowood Drive,--,Newark,DE,197116756,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"55 South Meadowood Drive
Newark, DE 197116756
(39.706142, -75.683078)"
2015,24,680,Smyrna School District,Regular,Clayton Elementary School,PUBLIC,510 West Main Street,--,Clayton,DE,199383400,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"510 West Main Street
Clayton, DE 199383400
(39.288887, -75.638344)"
2014,23,761,Seaford School District,Regular,Blades Elementary School,PUBLIC,900 South Arch Street,--,Blades,DE,199734553,Sussex,PK,05,Elementary,0,1,1,1,0,0,0,"900 South Arch Street
Blades, DE 199734553
(38.630133, -75.60677)"
2012,15,664,Lake Forest School District,Regular,Chipman (W.T.) Middle School,PUBLIC,101 West Center Street,--,Harrington,DE,199521098,Kent,06,08,Middle,0,0,0,0,1,0,0,"101 West Center Street
Harrington, DE 199521098
(38.928022, -75.581611)"
2012,13,634,Capital School District,Regular,South Dover Elementary School,PUBLIC,955 South State Street,--,Dover,DE,199014177,Kent,PR,04,Elementary,1,1,1,1,0,0,0,"955 South State Street
Dover, DE 199014177
(39.148579, -75.522424)"
2015,10,621,Caesar Rodney School District,Regular,F. Niel Postlethwait Middle School,PUBLIC,2841 South State Street,--,Camden,DE,199349627,Kent,06,08,Middle,0,0,0,0,1,0,0,"2841 South State Street
Camden, DE 199349627
(39.098859, -75.512414)"
2015,33,545,Christina School District,Regular,Christina Early Education Center,PUBLIC,620 East Chestnut Hill Rd,--,Newark,DE,197131814,New Castle,PK,PK,Pre-Kindergarten,0,1,0,0,0,0,0,"620 East Chestnut Hill Rd
Newark, DE 197131814
(39.671946, -75.708545)"
2015,82,581,Kuumba Academy Charter School,Charter,Kuumba Academy Charter School,PUBLIC,1200 North French Street,--,Wilmington,DE,19801,New Castle,KG,06,Middle,0,0,1,1,1,0,0,"1200 North French Street
Wilmington, DE 19801
(39.747161, -75.544451)"
2013,31,130,Brandywine School District,Regular,Lombardy Elementary School,PUBLIC,412 Foulk Road,--,Wilmington,DE,198033880,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"412 Foulk Road
Wilmington, DE 198033880
(39.785791, -75.5365)"
2015,9607,4055,First State Military Academy,Charter,First State Military Academy,PUBLIC,355 West Duck Creek Road,--,Clayton,DE,19938,New Castle,09,12,High,0,0,0,0,0,1,0,"355 West Duck Creek Road
Clayton, DE 19938
(39.2932, -75.637301)"
2013,18,672,Milford School District,Regular,Ross (Lulu M.) Elementary School,PUBLIC,310 Lovers Lane,--,Milford,DE,199632699,Kent,02,05,Elementary,0,0,0,1,0,0,0,"310 Lovers Lane
Milford, DE 199632699
(38.906006, -75.417074)"
2015,29,16,Appoquinimink School District,Regular,Redding (Louis L.) Middle School,PUBLIC,201 New Street,--,Middletown,DE,197091140,New Castle,06,08,Middle,0,0,0,0,1,0,0,"201 New Street
Middletown, DE 197091140
(39.452975, -75.70838)"
2014,31,178,Brandywine School District,Regular,Springer Middle School,PUBLIC,2220 Shipley Road,--,Wilmington,DE,198032398,New Castle,06,08,Middle,0,0,0,0,1,0,0,"2220 Shipley Road
Wilmington, DE 198032398
(39.805359, -75.535141)"
2012,10,618,Caesar Rodney School District,Regular,Star Hill Elementary School,PUBLIC,594 Voshells Mill/Star Hill Road,--,Dover,DE,199016121,Kent,01,05,Elementary,0,0,0,1,0,0,0,"594 Voshells Mill/Star Hill Road
Dover, DE 199016121
(39.09982, -75.533325)"
2014,24,681,Smyrna School District,Regular,Sunnyside Elementary School,PUBLIC,123  Rabbit Chase Road,--,Smyrna,DE,19977,Kent,KG,04,Elementary,0,0,1,1,0,0,0,"123 Rabbit Chase Road
Smyrna, DE 19977
(39.272563, -75.61271)"
2016,32,271,Red Clay Consolidated School District,Regular,William F. Cooke Jr. Elementary,PUBLIC,2025 Graves Road,--,Hockessin,DE,19707,New Castle,KG,05,Elementary,0,0,1,1,0,0,0,"2025 Graves Road
Hockessin, DE 19707
(39.767697, -75.671378)"
2015,33,339,Christina School District,Regular,Brader (Henry M.) Elementary School,PUBLIC,350 Four Seasons Parkway,--,Newark,DE,197022326,New Castle,PK,05,Elementary,0,1,1,1,0,0,0,"350 Four Seasons Parkway
Newark, DE 197022326
(39.626952, -75.754423)"
2016,15,669,Lake Forest School District,Regular,Lake Forest Central Elementary School,PUBLIC,5424 Killens Pond Road,--,Felton,DE,19943,Kent,04,05,Elementary,0,0,0,1,0,0,0,"5424 Killens Pond Road
Felton, DE 19943
(38.989281, -75.552253)"
